Ticker,Last Sale,Net Change,% Change,Market Cap,Volume,52 wk high,52 wk low,beta,P/E,Avg Volume,over/under,cluster
ABM,43.33,-0.7,-0.0159,2906510148.0,58808,45.24,19.79,1.36,14824.91,301238,0,2
AC,36.78,-0.74,-0.0197,820383270.0,12335,45.22,24.19,1.34,43.49,13253,0,0
AEB,24.96,0.13,0.0052,0.0,5983,25.44,11.51,1.88,0.0,18079,0,0
AEG,4.89,0.025,0.0051,9909317147.0,1238486,4.94,1.8,1.42,0.0,2487658,0,0
AEL,28.25,0.15,0.0053,2704107572.0,142866,34.25,9.07,1.24,4.06,742648,0,0
AFG,110.27,1.03,0.0094,9521263150.0,256315,114.6,43.0,0.92,12.96,765342,0,0
AFGB,26.9,-0.002,-0.0001,0.0,2351,28.77,14.74,0.92,0.0,10215,0,0
AFGC,25.76,0.0817,0.0032,25711722.0,6908,27.74,13.05,0.92,0.0,11380,0,0
AFGD,26.61,0.1583,0.006,0.0,4310,28.76,25.33,0.92,0.0,18813,0,0
AFGE,25.42,0.19,0.0075,0.0,4793,27.87,25.01,0.92,0.0,7786,0,0
AFL,48.92,0.2,0.0041,33685680100.0,1314569,50.15,23.07,0.98,7.28,4167294,1,3
AGM,88.31,-0.61,-0.0069,948095454.0,34305,90.7,40.05,1.11,0.0,46474,1,3
AGO,44.1,-1.22,-0.0269,3563552538.0,223014,45.72,13.64,1.15,11.44,521657,0,0
AHH,12.74,-0.15,-0.0116,1021104898.0,66391,17.97,6.4,0.85,33.62,248644,0,0
AIG,45.73,0.42,0.0093,39397571816.0,1772667,48.0,16.07,1.38,0.0,4711573,0,4
AIZ,126.23,-0.07,-0.0006,7309102633.0,114089,143.67,76.27,0.58,14.38,646060,1,3
AIZN,25.22,0.04,0.0016,0.0,3586,27.95,24.56,0.58,0.0,14063,1,3
AJG,121.77,-0.53,-0.0043,23591719800.0,370558,129.12,65.09,0.66,29.07,881956,0,0
ALL,110.95,1.23,0.0112,33603806615.0,573637,114.89,64.13,0.82,6.28,1969112,1,1
ALLY,43.54,0.63,0.0147,16284461494.0,1663448,43.89,10.22,1.58,14.94,4106758,0,0
AMBC,17.04,-0.355,-0.0204,780358683.0,177473,20.04,8.74,1.51,0.0,383943,0,0
