,Company,Ticker,Sector,Last Sale,Net Change,% Change,Market Cap,Volume,52 wk high,52 wk low,beta,P/E,Avg Volume
9,ABM INDUSTRIES INCORPORATED (XNYS:ABM),ABM,Finance,$43.33,-0.7,-1.59%,2906510148.0,58808,$45.24,$19.79,1.36,"14,824.91","301,238"
12,"ASSOCIATED CAPITAL GROUP, INC. (XNYS:AC)",AC,Finance,$36.78,-0.74,-1.97%,820383270.0,12335,$45.22,$24.19,1.34,43.49,"13,253"
24,Aegon NV (XNYS:AEB),AEB,Finance,$24.96,0.13,0.52%,0.0,5983,$25.44,$11.51,1.88,0,"18,079"
26,Aegon NV (XNYS:AEG),AEG,Finance,$4.89,0.025,0.51%,9909317147.0,1238486,$4.94,$1.80,1.42,0,"2,487,658"
27,AMERICAN EQUITY INVESTMENT LIFE HOLDING COMPANY (XNYS:AEL),AEL,Finance,$28.25,0.15,0.53%,2704107572.0,142866,$34.25,$9.07,1.24,4.06,"742,648"
34,"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFG)",AFG,Finance,$110.27,1.03,0.94%,9521263150.0,256315,$114.60,$43.00,0.92,12.96,"765,342"
35,"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFGB)",AFGB,Finance,$26.90,-0.002,-0.01%,0.0,2351,$28.77,$14.74,0.92,0,"10,215"
36,"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFGC)",AFGC,Finance,$25.76,0.0817,0.32%,25711722.0,6908,$27.74,$13.05,0.92,0,"11,380"
37,"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFGD)",AFGD,Finance,$26.61,0.1583,0.60%,0.0,4310,$28.76,$25.33,0.92,0,"18,813"
38,"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFGE)",AFGE,Finance,$25.42,0.19,0.75%,0.0,4793,$27.87,$25.01,0.92,0,"7,786"
40,AFLAC INCORPORATED (XNYS:AFL),AFL,Finance,$48.92,0.2,0.41%,33685680100.0,1314569,$50.15,$23.07,0.98,7.28,"4,167,294"
