Number,Company,Ticker,Sector,Last Sale,Net Change,% Change,Market Cap,Volume,52 wk high,52 wk low,beta,P/E,Avg Volume,over/under
9,ABM INDUSTRIES INCORPORATED (XNYS:ABM),ABM,Finance,43.33,-0.7,-0.0159,2906510148,58808,45.24,19.79,1.36,14824.91,301238,0
12,"ASSOCIATED CAPITAL GROUP, INC. (XNYS:AC)",AC,Finance,36.78,-0.74,-0.0197,820383270,12335,45.22,24.19,1.34,43.49,13253,0
24,Aegon NV (XNYS:AEB),AEB,Finance,24.96,0.13,0.0052,0,5983,25.44,11.51,1.88,0,18079,0
26,Aegon NV (XNYS:AEG),AEG,Finance,4.89,0.025,0.0051,9909317147,1238486,4.94,1.80,1.42,0,2487658,0
27,AMERICAN EQUITY INVESTMENT LIFE HOLDING COMPANY (XNYS:AEL),AEL,Finance,28.25,0.15,0.0053,2704107572,142866,34.25,9.07,1.24,4.06,742648,0
34,"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFG)",AFG,Finance,110.27,1.03,0.0094,9521263150,256315,114.6,43.00,0.92,12.96,765342,0
35,"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFGB)",AFGB,Finance,26.9,-0.002,-0.0001,0,2351,28.77,14.74,0.92,0,10215,0
36,"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFGC)",AFGC,Finance,25.76,0.0817,0.0032,25711722,6908,27.74,13.05,0.92,0,11380,0
37,"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFGD)",AFGD,Finance,26.61,0.1583,0.006,0,4310,28.76,25.33,0.92,0,18813,0
38,"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFGE)",AFGE,Finance,25.42,0.19,0.0075,0,4793,27.87,25.01,0.92,0,7786,0
40,AFLAC INCORPORATED (XNYS:AFL),AFL,Finance,48.92,0.2,0.0041,33685680100,1314569,50.15,23.07,0.98,7.28,4167294,1
43,FEDERAL AGRICULTURAL MORTGAGE CORPORATION (XNYS:AGM),AGM,Finance,88.31,-0.61,-0.0069,948095454,34305,90.7,40.05,1.11,0,46474,1
44,ASSURED GUARANTY LTD. (XNYS:AGO),AGO,Finance,44.1,-1.22,-0.0269,3563552538,223014,45.72,13.64,1.15,11.44,521657,0
49,"ARMADA HOFFLER PROPERTIES, INC. (XNYS:AHH)",AHH,Finance,12.74,-0.15,-0.0116,1021104898,66391,17.97,6.40,0.85,33.62,248644,0
52,"AMERICAN INTERNATIONAL GROUP, INC. (XNYS:AIG)",AIG,Finance,45.73,0.42,0.0093,39397571816,1772667,48,16.07,1.38,0,4711573,0
58,"ASSURANT, INC. (XNYS:AIZ)",AIZ,Finance,126.23,-0.07,-0.0006,7309102633,114089,143.67,76.27,0.58,14.38,646060,1
59,"ASSURANT, INC. (XNYS:AIZN)",AIZN,Finance,25.22,0.04,0.0016,0,3586,27.95,24.56,0.58,0,14063,1
