Company,Ticker,Sector,Last Sale,Net Change,% Change,Market Cap,Volume,52 wk high,52 wk low,beta,P/E,Avg Volume
"AGILENT TECHNOLOGIES, INC. (XNYS:A)",A,Capital Goods,$124.83,0.35,0.28%,38121752810,528837,$136.98,$61.13,1.01,47.78,"1,715,814"
ALCOA CORPORATION (XNYS:AA),AA,Basic Industries,$27.36,1.37,5.27%,5088359968,5486203,$27.86,$5.16,2.65,0,"6,631,506"
Arlington Asset Investment Corp. (XNYS:AAIC),AAIC,Consumer Services,$4.11,0.05,1.23%,137387794,116249,$6.18,$1.40,1.89,0,"213,064"
"The Aaron's Company, Inc. (XNYS:AAN)",AAN,Technology,$22.05,-0.17,-0.77%,754218288,110970,$31.00,$16.20,#FIELD!,26.71,"373,979"
"ADVANCE AUTO PARTS, INC. (XNYS:AAP)",AAP,Consumer Services,$165.38,2.715,1.67%,10836100958,430335,$177.92,$71.33,1.33,22.77,"1,266,824"
"AMERICAN ASSETS TRUST, INC. (XNYS:AAT)",AAT,Consumer Services,$32.04,0.06,0.19%,1937570620,198720,$43.65,$20.15,1.26,69.14,"303,046"
Abb Ltd (XNYS:ABB),ABB,Consumer Durables,$29.85,0.57,1.95%,60620399945,1216943,$30.89,$14.71,1.08,213.18,"2,013,697"
ABBVIE INC. (XNYS:ABBV),ABBV,Health Care,$108.90,0.49,0.45%,1.92E+11,2217984,$113.41,$62.55,0.81,40.01,"7,580,796"
AMERISOURCEBERGEN CORPORATION (XNYS:ABC),ABC,Health Care,$103.77,0.6,0.58%,21242357186,288998,$112.88,$72.06,0.5,0,"1,091,627"
Ambev SA (XNYS:ABEV),ABEV,Consumer Non-Durables,$2.48,-0.025,-1.00%,38943896803,30202420,$3.40,$1.90,0.64,0,"23,989,806"
"ASBURY AUTOMOTIVE GROUP, INC. (XNYS:ABG)",ABG,Consumer Durables,$171.21,-0.94,-0.55%,3301878673,37760,$176.22,$39.36,1.73,13.1,"217,773"
ABM INDUSTRIES INCORPORATED (XNYS:ABM),ABM,Finance,$43.33,-0.7,-1.59%,2906510148,58808,$45.24,$19.79,1.36,"14,824.91","301,238"
"ARBOR REALTY TRUST, INC. (XNYS:ABR)",ABR,Consumer Services,$16.83,-0.0399,-0.24%,2085612466,1141657,$17.19,$3.54,1.94,12.96,"1,436,052"
ABBOTT LABORATORIES (XNYS:ABT),ABT,Health Care,$122.90,0.6864,0.56%,2.18E+11,1562810,$128.54,$61.61,0.71,48.59,"5,459,410"
